ImageId,Label
1,2
2,0
3,1
4,4
5,4
6,4
7,0
8,4
9,5
10,4
11,5
12,4
13,4
14,0
15,4
16,5
17,1
18,1
19,4
20,0
21,4
22,1
23,1
24,4
25,7
26,4
27,2
28,7
29,1
30,4
31,4
32,5
33,4
34,0
35,4
36,5
37,4
38,5
39,4
40,5
41,4
42,4
43,4
44,4
45,5
46,4
47,4
48,5
49,4
50,1
51,4
52,5
53,1
54,5
55,5
56,4
57,1
58,5
59,4
60,0
61,4
62,1
63,5
64,4
65,5
66,5
67,1
68,4
69,5
70,1
71,4
72,5
73,5
74,5
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,1
84,5
85,4
86,0
87,4
88,4
89,4
90,5
91,0
92,0
93,4
94,4
95,1
96,4
97,4
98,5
99,5
100,4
101,4
102,4
103,1
104,5
105,4
106,4
107,0
108,5
109,0
110,4
111,0
112,0
113,4
114,1
115,1
116,4
117,1
118,1
119,4
120,4
121,1
122,4
123,4
124,5
125,4
126,1
127,5
128,1
129,0
130,4
131,4
132,5
133,4
134,5
135,0
136,5
137,4
138,1
139,5
140,4
141,4
142,4
143,4
144,5
145,5
146,5
147,5
148,4
149,0
150,5
151,4
152,4
153,5
154,4
155,5
156,1
157,5
158,5
159,5
160,5
161,4
162,5
163,4
164,5
165,1
166,0
167,1
168,4
169,4
170,0
171,4
172,5
173,4
174,6
175,1
176,4
177,5
178,4
179,1
180,4
181,4
182,4
183,5
184,4
185,4
186,4
187,1
188,1
189,4
190,5
191,4
192,1
193,4
194,4
195,6
196,0
197,4
198,7
199,5
200,4
201,1
202,4
203,5
204,1
205,4
206,0
207,5
208,4
209,4
210,4
211,5
212,4
213,4
214,4
215,4
216,5
217,1
218,4
219,1
220,4
221,2
222,1
223,1
224,5
225,4
226,4
227,4
228,6
229,1
230,0
231,0
232,4
233,4
234,1
235,4
236,1
237,4
238,0
239,4
240,4
241,5
242,4
243,2
244,5
245,5
246,5
247,4
248,4
249,1
250,4
251,4
252,4
253,1
254,0
255,5
256,4
257,5
258,1
259,4
260,0
261,4
262,0
263,5
264,5
265,1
266,5
267,6
268,5
269,1
270,1
271,4
272,5
273,4
274,4
275,4
276,4
277,1
278,5
279,5
280,4
281,0
282,5
283,1
284,0
285,5
286,0
287,7
288,4
289,4
290,4
291,5
292,5
293,4
294,4
295,4
296,5
297,4
298,5
299,4
300,5
301,4
302,4
303,5
304,4
305,4
306,4
307,4
308,1
309,4
310,5
311,5
312,5
313,4
314,5
315,0
316,4
317,4
318,4
319,1
320,4
321,4
322,1
323,1
324,4
325,5
326,4
327,4
328,1
329,4
330,9
331,4
332,4
333,1
334,0
335,5
336,4
337,5
338,4
339,5
340,5
341,5
342,4
343,1
344,5
345,4
346,0
347,5
348,5
349,4
350,8
351,4
352,4
353,4
354,9
355,9
356,4
357,4
358,4
359,4
360,1
361,4
362,4
363,0
364,5
365,4
366,4
367,4
368,1
369,1
370,4
371,4
372,5
373,5
374,4
375,7
376,4
377,4
378,5
379,0
380,1
381,4
382,1
383,5
384,4
385,2
386,4
387,1
388,1
389,5
390,5
391,1
392,4
393,4
394,4
395,4
396,1
397,1
398,1
399,5
400,4
401,4
402,7
403,5
404,1
405,1
406,1
407,4
408,1
409,5
410,5
411,5
412,5
413,4
414,1
415,4
416,4
417,1
418,1
419,5
420,4
421,4
422,4
423,4
424,5
425,1
426,1
427,4
428,4
429,4
430,4
431,4
432,5
433,5
434,4
435,4
436,1
437,4
438,4
439,4
440,0
441,4
442,4
443,5
444,4
445,4
446,5
447,1
448,1
449,4
450,4
451,4
452,1
453,4
454,4
455,5
456,4
457,1
458,4
459,1
460,5
461,4
462,7
463,5
464,5
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,4
474,5
475,5
476,5
477,1
478,5
479,1
480,5
481,4
482,4
483,1
484,2
485,4
486,4
487,4
488,4
489,5
490,4
491,5
492,4
493,0
494,4
495,0
496,5
497,5
498,1
499,4
500,5
501,4
502,5
503,4
504,4
505,1
506,5
507,0
508,4
509,4
510,0
511,7
512,4
513,4
514,4
515,4
516,4
517,1
518,4
519,4
520,4
521,4
522,4
523,5
524,1
525,4
526,1
527,0
528,1
529,1
530,1
531,0
532,5
533,5
534,5
535,4
536,5
537,6
538,5
539,4
540,0
541,4
542,4
543,4
544,0
545,0
546,0
547,0
548,4
549,5
550,1
551,1
552,4
553,5
554,1
555,5
556,0
557,5
558,5
559,4
560,4
561,5
562,5
563,1
564,1
565,5
566,5
567,4
568,1
569,1
570,4
571,4
572,5
573,4
574,4
575,0
576,4
577,5
578,4
579,4
580,4
581,4
582,1
583,4
584,4
585,4
586,1
587,4
588,0
589,5
590,4
591,5
592,5
593,4
594,5
595,5
596,4
597,4
598,4
599,0
600,5
601,1
602,1
603,4
604,1
605,4
606,4
607,5
608,4
609,4
610,4
611,1
612,4
613,5
614,4
615,2
616,4
617,5
618,4
619,5
620,4
621,4
622,5
623,4
624,4
625,5
626,4
627,1
628,5
629,4
630,1
631,4
632,1
633,5
634,4
635,1
636,4
637,4
638,7
639,5
640,4
641,4
642,4
643,4
644,4
645,4
646,1
647,4
648,4
649,1
650,5
651,4
652,4
653,4
654,5
655,0
656,4
657,4
658,4
659,1
660,7
661,4
662,4
663,4
664,0
665,4
666,5
667,1
668,4
669,5
670,6
671,4
672,4
673,4
674,4
675,5
676,4
677,4
678,4
679,4
680,0
681,4
682,4
683,5
684,1
685,1
686,4
687,4
688,4
689,4
690,4
691,1
692,6
693,0
694,1
695,4
696,4
697,4
698,4
699,5
700,5
701,4
702,4
703,4
704,0
705,4
706,5
707,5
708,4
709,4
710,5
711,5
712,5
713,1
714,5
715,4
716,4
717,4
718,4
719,4
720,4
721,4
722,2
723,1
724,0
725,1
726,0
727,4
728,4
729,4
730,5
731,5
732,1
733,4
734,2
735,4
736,4
737,1
738,5
739,1
740,5
741,4
742,5
743,4
744,4
745,5
746,4
747,0
748,1
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,7
758,1
759,1
760,4
761,4
762,5
763,4
764,5
765,4
766,0
767,4
768,5
769,1
770,5
771,4
772,5
773,0
774,1
775,4
776,5
777,4
778,5
779,4
780,1
781,1
782,4
783,4
784,5
785,4
786,5
787,5
788,4
789,4
790,5
791,4
792,5
793,4
794,0
795,4
796,4
797,1
798,4
799,4
800,4
801,1
802,1
803,4
804,1
805,1
806,4
807,4
808,6
809,5
810,1
811,5
812,4
813,4
814,1
815,4
816,4
817,5
818,4
819,5
820,4
821,4
822,5
823,5
824,0
825,1
826,4
827,5
828,4
829,4
830,4
831,1
832,4
833,5
834,4
835,4
836,4
837,4
838,1
839,4
840,4
841,1
842,4
843,0
844,4
845,4
846,4
847,5
848,2
849,5
850,5
851,4
852,4
853,5
854,4
855,2
856,4
857,1
858,1
859,4
860,4
861,5
862,4
863,1
864,4
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,1
873,4
874,2
875,5
876,4
877,1
878,1
879,5
880,1
881,4
882,4
883,1
884,1
885,4
886,1
887,1
888,5
889,4
890,4
891,1
892,1
893,4
894,5
895,4
896,4
897,4
898,4
899,1
900,1
901,5
902,1
903,5
904,5
905,4
906,1
907,4
908,5
909,2
910,1
911,4
912,5
913,4
914,4
915,1
916,0
917,4
918,5
919,1
920,0
921,4
922,4
923,4
924,4
925,4
926,7
927,4
928,4
929,5
930,7
931,4
932,4
933,1
934,4
935,1
936,2
937,4
938,1
939,4
940,5
941,4
942,4
943,4
944,1
945,4
946,4
947,4
948,4
949,4
950,5
951,4
952,4
953,1
954,4
955,4
956,1
957,4
958,4
959,5
960,4
961,5
962,4
963,4
964,5
965,4
966,5
967,1
968,5
969,5
970,5
971,4
972,1
973,4
974,4
975,1
976,0
977,5
978,4
979,4
980,4
981,5
982,5
983,4
984,4
985,1
986,4
987,5
988,5
989,4
990,2
991,1
992,4
993,5
994,5
995,4
996,4
997,4
998,2
999,1
1000,4
1001,0
1002,4
1003,5
1004,5
1005,1
1006,4
1007,4
1008,4
1009,1
1010,4
1011,2
1012,5
1013,4
1014,1
1015,5
1016,4
1017,4
1018,4
1019,4
1020,5
1021,4
1022,4
1023,4
1024,4
1025,2
1026,5
1027,1
1028,5
1029,5
1030,1
1031,4
1032,1
1033,4
1034,4
1035,4
1036,0
1037,4
1038,5
1039,5
1040,0
1041,1
1042,6
1043,1
1044,4
1045,5
1046,1
1047,4
1048,4
1049,5
1050,6
1051,0
1052,4
1053,4
1054,5
1055,1
1056,1
1057,1
1058,4
1059,4
1060,5
1061,5
1062,5
1063,4
1064,5
1065,4
1066,4
1067,5
1068,0
1069,5
1070,4
1071,5
1072,4
1073,4
1074,6
1075,1
1076,2
1077,4
1078,1
1079,5
1080,4
1081,5
1082,5
1083,4
1084,4
1085,7
1086,5
1087,4
1088,4
1089,5
1090,1
1091,7
1092,1
1093,5
1094,1
1095,4
1096,4
1097,4
1098,4
1099,4
1100,0
1101,4
1102,0
1103,4
1104,1
1105,4
1106,4
1107,0
1108,4
1109,4
1110,4
1111,4
1112,5
1113,4
1114,1
1115,0
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,1
1123,4
1124,1
1125,4
1126,5
1127,4
1128,6
1129,1
1130,1
1131,5
1132,5
1133,5
1134,5
1135,4
1136,4
1137,4
1138,1
1139,1
1140,4
1141,4
1142,0
1143,1
1144,1
1145,2
1146,4
1147,4
1148,9
1149,5
1150,4
1151,4
1152,7
1153,4
1154,4
1155,4
1156,4
1157,4
1158,1
1159,5
1160,4
1161,4
1162,1
1163,4
1164,5
1165,4
1166,4
1167,4
1168,2
1169,4
1170,4
1171,4
1172,4
1173,4
1174,1
1175,5
1176,1
1177,5
1178,7
1179,4
1180,5
1181,4
1182,4
1183,4
1184,4
1185,0
1186,1
1187,0
1188,4
1189,5
1190,4
1191,7
1192,0
1193,5
1194,5
1195,5
1196,5
1197,5
1198,5
1199,4
1200,4
1201,4
1202,4
1203,4
1204,4
1205,1
1206,4
1207,4
1208,4
1209,4
1210,0
1211,4
1212,4
1213,5
1214,4
1215,5
1216,4
1217,4
1218,4
